,metro,city
139,강원,강릉시
153,강원,고성군
140,강원,동해시
143,강원,삼척시
142,강원,속초시
151,강원,양구군
154,강원,양양군
146,강원,영월군
138,강원,원주시
152,강원,인제군
148,강원,정선군
149,강원,철원군
137,강원,춘천시
141,강원,태백시
147,강원,평창군
144,강원,홍천군
150,강원,화천군
145,강원,횡성군
134,경기,가평군
107,경기,고양시
111,경기,과천시
101,경기,광명시
128,경기,광주시
112,경기,구리시
116,경기,군포시
126,경기,김포시
113,경기,남양주시
103,경기,동두천시
97,경기,부천시
89,경기,성남시
84,경기,수원시
115,경기,시흥시
104,경기,안산시
125,경기,안성시
94,경기,안양시
129,경기,양주시
135,경기,양평군
133,경기,연천군
114,경기,오산시
119,경기,용인시
117,경기,의왕시
93,경기,의정부시
124,경기,이천시
123,경기,파주시
102,경기,평택시
130,경기,포천시
118,경기,하남시
127,경기,화성시
268,경남,거제시
278,경남,거창군
273,경남,고성군
266,경남,김해시
274,경남,남해군
267,경남,밀양시
265,경남,사천시
276,경남,산청군
269,경남,양산시
270,경남,의령군
263,경남,진주시
272,경남,창녕군
257,경남,창원시
264,경남,통영시
275,경남,하동군
271,경남,함안군
277,경남,함양군
279,경남,합천군
242,경북,경산시
234,경북,경주시
249,경북,고령군
237,경북,구미시
243,경북,군위군
235,경북,김천시
241,경북,문경시
253,경북,봉화군
240,경북,상주시
250,경북,성주군
236,경북,안동시
247,경북,영덕군
246,경북,영양군
238,경북,영주시
239,경북,영천시
252,경북,예천군
255,경북,울릉군
254,경북,울진군
244,경북,의성군
248,경북,청도군
245,경북,청송군
251,경북,칠곡군
231,경북,포항시
68,광주,광산구
66,광주,남구
64,광주,동구
67,광주,북구
65,광주,서구
47,대구,남구
50,대구,달서구
51,대구,달성군
45,대구,동구
48,대구,북구
46,대구,서구
49,대구,수성구
44,대구,중구
74,대전,대덕구
70,대전,동구
72,대전,서구
73,대전,유성구
71,대전,중구
38,부산,강서구
37,부산,금정구
42,부산,기장군
33,부산,남구
29,부산,동구
32,부산,동래구
31,부산,부산진구
34,부산,북구
41,부산,사상구
36,부산,사하구
28,부산,서구
40,부산,수영구
39,부산,연제구
30,부산,영도구
27,부산,중구
35,부산,해운대구
23,서울,강남구
25,서울,강동구
9,서울,강북구
16,서울,강서구
21,서울,관악구
5,서울,광진구
17,서울,구로구
18,서울,금천구
11,서울,노원구
10,서울,도봉구
6,서울,동대문구
20,서울,동작구
14,서울,마포구
13,서울,서대문구
22,서울,서초구
4,서울,성동구
8,서울,성북구
24,서울,송파구
15,서울,양천구
19,서울,영등포구
3,서울,용산구
12,서울,은평구
1,서울,종로구
2,서울,중구
7,서울,중랑구
81,세종,세종
82,세종,세종
77,울산,남구
78,울산,동구
79,울산,북구
80,울산,울주군
76,울산,중구
61,인천,강화군
59,인천,계양구
57,인천,남동구
54,인천,동구
58,인천,부평구
60,인천,서구
56,인천,연수구
62,인천,옹진군
53,인천,중구
220,전남,강진군
216,전남,고흥군
214,전남,곡성군
212,전남,광양시
215,전남,구례군
211,전남,나주시
213,전남,담양군
208,전남,목포시
223,전남,무안군
217,전남,보성군
210,전남,순천시
229,전남,신안군
209,전남,여수시
225,전남,영광군
222,전남,영암군
227,전남,완도군
226,전남,장성군
219,전남,장흥군
228,전남,진도군
224,전남,함평군
221,전남,해남군
218,전남,화순군
205,전북,고창군
194,전북,군산시
198,전북,김제시
197,전북,남원시
201,전북,무주군
206,전북,부안군
204,전북,순창군
199,전북,완주군
195,전북,익산시
203,전북,임실군
202,전북,장수군
191,전북,전주시
196,전북,정읍시
200,전북,진안군
282,제주,서귀포시
281,제주,제주시
181,충남,계룡시
176,충남,공주시
183,충남,금산군
180,충남,논산시
182,충남,당진시
177,충남,보령시
184,충남,부여군
179,충남,서산시
185,충남,서천군
178,충남,아산시
188,충남,예산군
173,충남,천안시
186,충남,청양군
189,충남,태안군
187,충남,홍성군
169,충북,괴산군
171,충북,단양군
164,충북,보은군
166,충북,영동군
165,충북,옥천군
170,충북,음성군
162,충북,제천시
167,충북,증평군
168,충북,진천군
156,충북,청주시
161,충북,충주시
