year,metro,genSrc,capacity,cnt,all,0,1,2,3,4,5,6,7,8,9,10
2012,강원,소수력,870.0,2,217741,17769,27970,24462,30035,35702,36526,22162,16554,5644,871,46
2012,강원,태양광,11593.029999999999,106,1498715,127059,187849,176633,203739,246105,249386,144252,118572,38990,5680,450
2012,강원,폐기물,888.0,2,133072,11302,16725,13996,18361,22834,23144,13561,9667,3009,412,61
2012,경기,소수력,45.0,1,192341,18569,26462,25051,31576,37221,28920,13455,8294,2399,346,48
2012,경기,태양광,12239.85,250,11338673,1182718,1524018,1466843,1942253,2115843,1617858,780121,516959,166394,23579,2087
2012,경남,바이오,120.0,1,270460,29244,36619,31239,46144,50572,39341,20040,12868,3948,401,44
2012,경남,태양광,29965.77,183,3319314,319389,433187,392545,511254,573563,512964,282914,210388,74637,8021,452
2012,경남,폐기물,1058.0,2,400417,35140,54941,48789,54850,66583,62615,37173,28725,10329,1206,66
2012,경북,소수력,1310.0,2,79961,4659,6513,6974,7318,9769,14333,11878,13281,4535,652,49
2012,경북,연료전지,300.0,1,518913,45975,67119,64406,76256,90222,91285,46447,26961,8953,1234,55
2012,경북,태양광,54307.590000000004,317,2635836,222408,309758,313440,370026,424617,422245,264528,221820,76405,10021,568
2012,광주,태양광,3016.08,44,1469216,149644,222879,197582,239308,254480,197712,111276,70341,22560,3167,267
2012,대구,태양광,1026.27,23,2041279,186067,289229,262108,308968,375013,315516,164700,104495,31339,3603,241
2012,대전,매립지가스(LFG),99.0,1,205688,18923,29322,27961,32093,37344,31978,15235,9509,2893,406,24
2012,대전,태양광,675.83,18,1524583,152264,210828,209445,250711,266856,226538,111811,69928,22907,3070,225
2012,부산,소수력,55.0,1,255692,16932,29818,35987,35392,41500,47292,27606,15643,4809,601,112
2012,부산,태양광,4377.85,45,3417656,258766,395089,451840,513427,565042,606411,355471,204322,59226,6975,1087
2012,서울,태양광,1753.47,41,8113615,671092,940941,1169552,1425875,1394353,1252039,712587,400878,123607,19673,3018
2012,울산,태양광,1254.65,22,1147256,113647,162510,151782,186229,217101,182143,78640,40772,12726,1604,102
2012,인천,태양광,1884.92,37,1717970,169059,220460,229729,289531,312490,264623,125253,76802,26014,3725,284
2012,전남,바이오,54.0,1,273798,25747,43405,34127,37367,48947,38925,21472,16702,6192,872,42
2012,전남,태양광,78166.74,663,1882541,159764,236028,203629,238717,294491,282226,204481,188055,65736,8811,603
2012,전남,해양에너지,110.0,1,33208,2310,3206,2890,3206,4326,5055,4870,5412,1698,221,14
2012,전북,바이오,500.0,3,272149,19181,30744,27281,29859,38576,42557,34278,35150,12693,1693,137
2012,전북,태양광,85545.16,1076,1873341,166173,245976,220440,256667,297989,280597,186025,156650,54994,7308,522
2012,전북,풍력,98.0,1,87000,7047,10711,8697,9852,12882,13268,10103,10196,3678,538,28
2012,제주,바이오,99.0,1,429656,46700,62857,50494,65483,77115,59028,33510,23917,8602,1822,128
2012,제주,태양광,4973.2,41,583713,60411,82614,67058,85584,103309,82532,49442,37022,12871,2684,186
2012,제주,풍력,99.4,1,429656,46700,62857,50494,65483,77115,59028,33510,23917,8602,1822,128
2012,충남,바이오,60.0,1,32087,1827,3016,3042,2873,4019,5430,4482,5314,1883,189,12
2012,충남,소수력,1470.0,4,598578,59774,70115,70319,92383,91437,87442,56455,50625,17550,2315,163
